Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC2-BL1,Ethernet1,172.16.2.17/31,spine,DC2-SP1,Ethernet5,172.16.2.16/31
l3leaf,DC2-BL1,Ethernet2,172.16.2.19/31,spine,DC2-SP2,Ethernet5,172.16.2.18/31
l3leaf,DC2-BL2,Ethernet1,172.16.2.21/31,spine,DC2-SP1,Ethernet6,172.16.2.20/31
l3leaf,DC2-BL2,Ethernet2,172.16.2.23/31,spine,DC2-SP2,Ethernet6,172.16.2.22/31
l3leaf,DC2-CL1,Ethernet1,172.16.2.1/31,spine,DC2-SP1,Ethernet1,172.16.2.0/31
l3leaf,DC2-CL1,Ethernet2,172.16.2.3/31,spine,DC2-SP2,Ethernet1,172.16.2.2/31
l3leaf,DC2-CL2,Ethernet1,172.16.2.5/31,spine,DC2-SP1,Ethernet2,172.16.2.4/31
l3leaf,DC2-CL2,Ethernet2,172.16.2.7/31,spine,DC2-SP2,Ethernet2,172.16.2.6/31
l3leaf,DC2-CL3,Ethernet1,172.16.2.9/31,spine,DC2-SP1,Ethernet3,172.16.2.8/31
l3leaf,DC2-CL3,Ethernet2,172.16.2.11/31,spine,DC2-SP2,Ethernet3,172.16.2.10/31
l3leaf,DC2-CL4,Ethernet1,172.16.2.13/31,spine,DC2-SP1,Ethernet4,172.16.2.12/31
l3leaf,DC2-CL4,Ethernet2,172.16.2.15/31,spine,DC2-SP2,Ethernet4,172.16.2.14/31
